110conameu.csv::Basic Materials,Chemicals - Major Diversified
111conameu.csv::Basic Materials,Synthetics
112conameu.csv::Basic Materials,Agricultural Chemicals
113conameu.csv::Basic Materials,Specialty Chemicals
120conameu.csv::Basic Materials,Major Integrated Oil & Gas
121conameu.csv::Basic Materials,Independent Oil & Gas
122conameu.csv::Basic Materials,Oil & Gas Refining & Marketing
123conameu.csv::Basic Materials,Oil & Gas Drilling & Exploration
124conameu.csv::Basic Materials,Oil & Gas Equipment & Services
125conameu.csv::Basic Materials,Oil & Gas Pipelines
130conameu.csv::Basic Materials,Steel & Iron
131conameu.csv::Basic Materials,Copper
132conameu.csv::Basic Materials,Aluminum
133conameu.csv::Basic Materials,Industrial Metals & Minerals
134conameu.csv::Basic Materials,Gold
135conameu.csv::Basic Materials,Silver
136conameu.csv::Basic Materials,Nonmetallic Mineral Mining
210conameu.csv::Conglomerates,Conglomerates
310conameu.csv::Consumer Goods,Appliances
311conameu.csv::Consumer Goods,Home Furnishings & Fixtures
312conameu.csv::Consumer Goods,Housewares & Accessories
313conameu.csv::Consumer Goods,Business Equipment
314conameu.csv::Consumer Goods,Electronic Equipment
315conameu.csv::Consumer Goods,Toys & Games
316conameu.csv::Consumer Goods,Sporting Goods
317conameu.csv::Consumer Goods,Recreational Goods, Other
318conameu.csv::Consumer Goods,Photographic Equipment & Supplies
320conameu.csv::Consumer Goods,Textile - Apparel Clothing
321conameu.csv::Consumer Goods,Textile - Apparel Footwear & Accessories
322conameu.csv::Consumer Goods,Rubber & Plastics
323conameu.csv::Consumer Goods,Personal Products
324conameu.csv::Consumer Goods,Paper & Paper Products
325conameu.csv::Consumer Goods,Packaging & Containers
326conameu.csv::Consumer Goods,Cleaning Products
327conameu.csv::Consumer Goods,Office Supplies
330conameu.csv::Consumer Goods,Auto Manufacturers - Major
331conameu.csv::Consumer Goods,Trucks & Other Vehicles
332conameu.csv::Consumer Goods,Recreational Vehicles
333conameu.csv::Consumer Goods,Auto Parts
340conameu.csv::Consumer Goods,Food - Major Diversified
341conameu.csv::Consumer Goods,Farm Products
342conameu.csv::Consumer Goods,Processed & Packaged Goods
343conameu.csv::Consumer Goods,Meat Products
344conameu.csv::Consumer Goods,Dairy Products
345conameu.csv::Consumer Goods,Confectioners
346conameu.csv::Consumer Goods,Beverages - Brewers
347conameu.csv::Consumer Goods,Beverages - Wineries & Distillers
